kunta_nro,kunta_nimi,Maakunta
20,Akaa,Pirkanmaa
5,Alajärvi,Etelä-Pohjanmaa
9,Alavieska,Pohjois-Pohjanmaa
10,Alavus,Etelä-Pohjanmaa
16,Asikkala,Päijät-Häme
18,Askola,Uusimaa
19,Aura,Varsinais-Suomi
35,Brändö,Ahvenanmaa
43,Eckerö,Ahvenanmaa
46,Enonkoski,Etelä-Savo
47,Enontekiö,Lappi
49,Espoo,Uusimaa
50,Eura,Satakunta
51,Eurajoki,Satakunta
52,Evijärvi,Etelä-Pohjanmaa
60,Finström,Ahvenanmaa
61,Forssa,Kanta-Häme
62,Föglö,Ahvenanmaa
65,Geta,Ahvenanmaa
69,Haapajärvi,Pohjois-Pohjanmaa
71,Haapavesi,Pohjois-Pohjanmaa
72,Hailuoto,Pohjois-Pohjanmaa
74,Halsua,Keski-Pohjanmaa
75,Hamina,Kymenlaakso
76,Hammarland,Ahvenanmaa
77,Hankasalmi,Keski-Suomi
78,Hanko,Uusimaa
79,Harjavalta,Satakunta
81,Hartola,Päijät-Häme
82,Hattula,Kanta-Häme
86,Hausjärvi,Kanta-Häme
99,Honkajoki,Satakunta
111,Heinola,Päijät-Häme
90,Heinävesi,Pohjois-Karjala
91,Helsinki,Uusimaa
97,Hirvensalmi,Etelä-Savo
98,Hollola,Päijät-Häme
102,Huittinen,Satakunta
103,Humppila,Kanta-Häme
105,Hyrynsalmi,Kainuu
106,Hyvinkää,Uusimaa
108,Hämeenkyrö,Pirkanmaa
109,Hämeenlinna,Kanta-Häme
139,Ii,Pohjois-Pohjanmaa
140,Iisalmi,Pohjois-Savo
142,Iitti,Päijät-Häme
143,Ikaalinen,Pirkanmaa
145,Ilmajoki,Etelä-Pohjanmaa
146,Ilomantsi,Pohjois-Karjala
153,Imatra,Etelä-Karjala
148,Inari,Lappi
149,Inkoo,Uusimaa
151,Isojoki,Etelä-Pohjanmaa
152,Isokyrö,Etelä-Pohjanmaa
165,Janakkala,Kanta-Häme
167,Joensuu,Pohjois-Karjala
169,Jokioinen,Kanta-Häme
170,Jomala,Ahvenanmaa
171,Joroinen,Pohjois-Savo
172,Joutsa,Keski-Suomi
176,Juuka,Pohjois-Karjala
177,Juupajoki,Pirkanmaa
178,Juva,Etelä-Savo
179,Jyväskylä,Keski-Suomi
181,Jämijärvi,Satakunta
182,Jämsä,Keski-Suomi
186,Järvenpää,Uusimaa
202,Kaarina,Varsinais-Suomi
204,Kaavi,Pohjois-Savo
205,Kajaani,Kainuu
208,Kalajoki,Pohjois-Pohjanmaa
211,Kangasala,Pirkanmaa
213,Kangasniemi,Etelä-Savo
214,Kankaanpää,Satakunta
216,Kannonkoski,Keski-Suomi
217,Kannus,Keski-Pohjanmaa
218,Karijoki,Etelä-Pohjanmaa
224,Karkkila,Uusimaa
226,Karstula,Keski-Suomi
230,Karvia,Satakunta
231,Kaskinen,Pohjanmaa
232,Kauhajoki,Etelä-Pohjanmaa
233,Kauhava,Etelä-Pohjanmaa
235,Kauniainen,Uusimaa
236,Kaustinen,Keski-Pohjanmaa
239,Keitele,Pohjois-Savo
240,Kemi,Lappi
320,Kemijärvi,Lappi
241,Keminmaa,Lappi
322,Kemiönsaari,Varsinais-Suomi
244,Kempele,Pohjois-Pohjanmaa
245,Kerava,Uusimaa
249,Keuruu,Keski-Suomi
250,Kihniö,Pirkanmaa
256,Kinnula,Keski-Suomi
257,Kirkkonummi,Uusimaa
260,Kitee,Pohjois-Karjala
261,Kittilä,Lappi
263,Kiuruvesi,Pohjois-Savo
265,Kivijärvi,Keski-Suomi
271,Kokemäki,Satakunta
272,Kokkola,Keski-Pohjanmaa
273,Kolari,Lappi
275,Konnevesi,Keski-Suomi
276,Kontiolahti,Pohjois-Karjala
280,Korsnäs,Pohjanmaa
284,Koski Tl,Varsinais-Suomi
285,Kotka,Kymenlaakso
286,Kouvola,Kymenlaakso
287,Kristiinankaupunki,Pohjanmaa
288,Kruunupyy,Pohjanmaa
290,Kuhmo,Kainuu
291,Kuhmoinen,Pirkanmaa
295,Kumlinge,Ahvenanmaa
297,Kuopio,Pohjois-Savo
300,Kuortane,Etelä-Pohjanmaa
301,Kurikka,Etelä-Pohjanmaa
304,Kustavi,Varsinais-Suomi
305,Kuusamo,Pohjois-Pohjanmaa
312,Kyyjärvi,Keski-Suomi
316,Kärkölä,Päijät-Häme
317,Kärsämäki,Pohjois-Pohjanmaa
318,Kökar,Ahvenanmaa
398,Lahti,Päijät-Häme
399,Laihia,Pohjanmaa
400,Laitila,Varsinais-Suomi
407,Lapinjärvi,Uusimaa
402,Lapinlahti,Pohjois-Savo
403,Lappajärvi,Etelä-Pohjanmaa
405,Lappeenranta,Etelä-Karjala
408,Lapua,Etelä-Pohjanmaa
410,Laukaa,Keski-Suomi
416,Lemi,Etelä-Karjala
417,Lemland,Ahvenanmaa
418,Lempäälä,Pirkanmaa
