kunta_nro,kunta_nimi,Maakunta,latitude,longitude
20,Akaa,Pirkanmaa,61.167145977,23.865888764
5,Alajärvi,Etelä-Pohjanmaa,63.001273254,23.817522812
9,Alavieska,Pohjois-Pohjanmaa,64.166646246,24.307213479
10,Alavus,Etelä-Pohjanmaa,62.586161997,23.616600589
16,Asikkala,Päijät-Häme,61.172512361,25.549142484
18,Askola,Uusimaa,60.530210718,25.598880612
19,Aura,Varsinais-Suomi,60.646591846,22.588991955
35,Brändö,Ahvenanmaa,60.412662338,21.04371379
43,Eckerö,Ahvenanmaa,60.213612052,19.613138657
46,Enonkoski,Etelä-Savo,62.089260323,28.916904602
47,Enontekiö,Lappi,68.385549758,23.635307625
49,Espoo,Uusimaa,60.206376371,24.656728549
50,Eura,Satakunta,61.130003763,22.135931764
51,Eurajoki,Satakunta,61.203547237,21.73409618
52,Evijärvi,Etelä-Pohjanmaa,63.36690195,23.47395314
60,Finström,Ahvenanmaa,60.232262787,19.992383189
61,Forssa,Kanta-Häme,60.814791352,23.6164073
62,Föglö,Ahvenanmaa,60.011288651,20.425481273
65,Geta,Ahvenanmaa,60.374272036,19.845773869
69,Haapajärvi,Pohjois-Pohjanmaa,63.748514012,25.319573489
71,Haapavesi,Pohjois-Pohjanmaa,64.136145958,25.364407256
72,Hailuoto,Pohjois-Pohjanmaa,65.008596339,24.71112636
74,Halsua,Keski-Pohjanmaa,63.460145023,24.171590087
75,Hamina,Kymenlaakso,60.569688146,27.197900579
76,Hammarland,Ahvenanmaa,60.218344619,19.73979193
77,Hankasalmi,Keski-Suomi,62.390301152,26.436191366
78,Hanko,Uusimaa,59.82496853,22.966840833
79,Harjavalta,Satakunta,61.313701934,22.141199348
81,Hartola,Päijät-Häme,61.583533225,26.019445705
82,Hattula,Kanta-Häme,61.055937939,24.373688807
86,Hausjärvi,Kanta-Häme,60.788352094,25.024743189
99,Honkajoki,Satakunta,61.993243973,22.263525327
111,Heinola,Päijät-Häme,61.2052356,26.034841245
90,Heinävesi,Pohjois-Karjala,62.425985285,28.629432602
91,Helsinki,Uusimaa,60.166640739,24.943536799
97,Hirvensalmi,Etelä-Savo,61.643279652,26.77736901
98,Hollola,Päijät-Häme,60.988606497,25.512813466
102,Huittinen,Satakunta,61.177545666,22.699443932
103,Humppila,Kanta-Häme,60.922008168,23.367072017
105,Hyrynsalmi,Kainuu,64.677259967,28.490705072
106,Hyvinkää,Uusimaa,60.631016885,24.861124319
108,Hämeenkyrö,Pirkanmaa,61.640922455,23.195714863
109,Hämeenlinna,Kanta-Häme,60.996174323,24.464424988
139,Ii,Pohjois-Pohjanmaa,65.322611335,25.374983789
140,Iisalmi,Pohjois-Savo,63.559688616,27.186983669
142,Iitti,Päijät-Häme,60.890805141,26.33869215
143,Ikaalinen,Pirkanmaa,61.768251116,23.074590925
145,Ilmajoki,Etelä-Pohjanmaa,62.733541324,22.577475532
146,Ilomantsi,Pohjois-Karjala,62.672850851,30.92679732
153,Imatra,Etelä-Karjala,61.171527381,28.769224555
148,Inari,Lappi,68.905469786,27.017602211
149,Inkoo,Uusimaa,60.044664081,24.006574663
151,Isojoki,Etelä-Pohjanmaa,62.115137142,21.958478468
152,Isokyrö,Etelä-Pohjanmaa,63.000103009,22.318211434
165,Janakkala,Kanta-Häme,60.921846055,24.647706584
167,Joensuu,Pohjois-Karjala,62.602079226,29.759679275
169,Jokioinen,Kanta-Häme,60.805162808,23.490085206
170,Jomala,Ahvenanmaa,60.15043419,19.95256632
171,Joroinen,Pohjois-Savo,62.179506084,27.826421809
172,Joutsa,Keski-Suomi,61.74027126,26.110981259
176,Juuka,Pohjois-Karjala,63.239859772,29.254325823
177,Juupajoki,Pirkanmaa,61.797913262,24.369974148
178,Juva,Etelä-Savo,61.897472595,27.857335654
179,Jyväskylä,Keski-Suomi,62.241677684,25.749498121
181,Jämijärvi,Satakunta,61.820221688,22.691024601
182,Jämsä,Keski-Suomi,61.864256654,25.190231473
186,Järvenpää,Uusimaa,60.481098394,25.10074741
202,Kaarina,Varsinais-Suomi,60.407620851,22.371004907
204,Kaavi,Pohjois-Savo,62.974976715,28.480838102
205,Kajaani,Kainuu,64.226733925,27.728046683
208,Kalajoki,Pohjois-Pohjanmaa,64.260430362,23.949156078
211,Kangasala,Pirkanmaa,61.463200572,24.067165047
213,Kangasniemi,Etelä-Savo,61.988644474,26.642473064
214,Kankaanpää,Satakunta,61.803357693,22.39516256
216,Kannonkoski,Keski-Suomi,62.976573477,25.263430615
217,Kannus,Keski-Pohjanmaa,63.901745411,23.915054223
218,Karijoki,Etelä-Pohjanmaa,62.308417557,21.704898532
224,Karkkila,Uusimaa,60.534934578,24.20821133
226,Karstula,Keski-Suomi,62.876603857,24.800504818
230,Karvia,Satakunta,62.138536127,22.562560142
231,Kaskinen,Pohjanmaa,62.382871885,21.225392339
232,Kauhajoki,Etelä-Pohjanmaa,62.425088156,22.177243878
233,Kauhava,Etelä-Pohjanmaa,63.100920012,23.065244367
235,Kauniainen,Uusimaa,60.210640465,24.7277527
236,Kaustinen,Keski-Pohjanmaa,63.548090648,23.69987851
239,Keitele,Pohjois-Savo,63.179589177,26.349949125
240,Kemi,Lappi,65.733635445,24.56341556
320,Kemijärvi,Lappi,66.715018519,27.430577528
241,Keminmaa,Lappi,65.798981364,24.54262919
322,Kemiönsaari,Varsinais-Suomi,60.163845255,22.728934263
244,Kempele,Pohjois-Pohjanmaa,64.912672171,25.50995188
245,Kerava,Uusimaa,60.404868786,25.103548718
249,Keuruu,Keski-Suomi,62.260208877,24.706448341
250,Kihniö,Pirkanmaa,62.203176316,23.177811003
256,Kinnula,Keski-Suomi,63.367271175,24.9699576
257,Kirkkonummi,Uusimaa,60.12065796,24.438913078
260,Kitee,Pohjois-Karjala,62.096690509,30.145386285
261,Kittilä,Lappi,67.653127857,24.911437456
263,Kiuruvesi,Pohjois-Savo,63.651462106,26.622489907
265,Kivijärvi,Keski-Suomi,63.12292486,25.070968069
271,Kokemäki,Satakunta,61.256136349,22.350459185
272,Kokkola,Keski-Pohjanmaa,63.837583062,23.131961664
273,Kolari,Lappi,67.331718287,23.788974026
275,Konnevesi,Keski-Suomi,62.627334113,26.289457254
276,Kontiolahti,Pohjois-Karjala,62.766465365,29.844407795
280,Korsnäs,Pohjanmaa,62.785052299,21.188728029
284,Koski Tl,Varsinais-Suomi,60.652981939,23.137367393
285,Kotka,Kymenlaakso,60.465520795,26.941152634
286,Kouvola,Kymenlaakso,60.866825214,26.705598153
287,Kristiinankaupunki,Pohjanmaa,62.274742151,21.37854708
288,Kruunupyy,Pohjanmaa,63.727817733,23.033771859
290,Kuhmo,Kainuu,64.125288629,29.524367548
291,Kuhmoinen,Pirkanmaa,61.562425983,25.175665612
295,Kumlinge,Ahvenanmaa,60.259692477,20.778313171
297,Kuopio,Pohjois-Savo,62.892982923,27.688934744
300,Kuortane,Etelä-Pohjanmaa,62.807410615,23.506393077
301,Kurikka,Etelä-Pohjanmaa,62.618893949,22.39877371
304,Kustavi,Varsinais-Suomi,60.546714695,21.358881644
305,Kuusamo,Pohjois-Pohjanmaa,65.964424921,29.18861606
312,Kyyjärvi,Keski-Suomi,63.043410994,24.566437311
316,Kärkölä,Päijät-Häme,60.86837648,25.273377105
317,Kärsämäki,Pohjois-Pohjanmaa,63.980587073,25.759667454
318,Kökar,Ahvenanmaa,59.920278312,20.908372757
398,Lahti,Päijät-Häme,60.980380564,25.654987962
399,Laihia,Pohjanmaa,62.977956713,22.011173105
400,Laitila,Varsinais-Suomi,60.875860346,21.690233379
407,Lapinjärvi,Uusimaa,60.624363429,26.201405459
402,Lapinlahti,Pohjois-Savo,63.364517752,27.387415475
403,Lappajärvi,Etelä-Pohjanmaa,63.217602823,23.632849978
405,Lappeenranta,Etelä-Karjala,61.058749724,28.187689913
408,Lapua,Etelä-Pohjanmaa,62.970168655,23.007570333
410,Laukaa,Keski-Suomi,62.413528005,25.957777304
416,Lemi,Etelä-Karjala,61.061522998,27.804960542
417,Lemland,Ahvenanmaa,60.068453521,20.099599382
418,Lempäälä,Pirkanmaa,61.312525626,23.755748116
420,Leppävirta,Pohjois-Savo,62.491829038,27.788663006
421,Lestijärvi,Keski-Pohjanmaa,63.524801746,24.66580332
422,Lieksa,Pohjois-Karjala,63.317804542,30.028096821
423,Lieto,Varsinais-Suomi,60.506876265,22.455932813
425,Liminka,Pohjois-Pohjanmaa,64.809794749,25.411946267
426,Liperi,Pohjois-Karjala,62.534480932,29.367861963
444,Lohja,Uusimaa,60.250916253,24.065782053
430,Loimaa,Varsinais-Suomi,60.851362252,23.058593858
433,Loppi,Kanta-Häme,60.717556416,24.44356627
434,Loviisa,Uusimaa,60.457732981,26.223660363
435,Luhanka,Keski-Suomi,61.796805591,25.703825319
436,Lumijoki,Pohjois-Pohjanmaa,64.837617135,25.187125981
438,Lumparland,Ahvenanmaa,60.1174024,20.258892131
440,Luoto,Pohjanmaa,63.755494342,22.746684981
441,Luumäki,Etelä-Karjala,60.92092464,27.559740129
475,Maalahti,Pohjanmaa,62.942910055,21.552851475
478,Maarianhamina,Ahvenanmaa,60.101520836,19.942267834
480,Marttila,Varsinais-Suomi,60.585411972,22.898967272
481,Masku,Varsinais-Suomi,60.570991977,22.098688118
483,Merijärvi,Pohjois-Pohjanmaa,64.29771802,24.441848134
484,Merikarvia,Satakunta,61.86033969,21.505430059
489,Miehikkälä,Kymenlaakso,60.669224483,27.696366399
491,Mikkeli,Etelä-Savo,61.687726895,27.273224374
494,Muhos,Pohjois-Pohjanmaa,64.808918576,25.990050022
495,Multia,Keski-Suomi,62.408697501,24.794621331
498,Muonio,Lappi,67.959275326,23.677223262
499,Mustasaari,Pohjanmaa,63.114054101,21.680745161
500,Muurame,Keski-Suomi,62.13050888,25.67356508
503,Mynämäki,Varsinais-Suomi,60.678732788,21.987506589
504,Myrskylä,Uusimaa,60.670439657,25.852102173
505,Mäntsälä,Uusimaa,60.63608498,25.320204692
508,Mänttä-Vilppula,Pirkanmaa,62.036948707,24.553095512
507,Mäntyharju,Etelä-Savo,61.41828094,26.875355649
529,Naantali,Varsinais-Suomi,60.467709253,22.018224718
531,Nakkila,Satakunta,61.366902193,22.004075891
535,Nivala,Pohjois-Pohjanmaa,63.929637787,24.953943761
536,Nokia,Pirkanmaa,61.478773769,23.508499404
538,Nousiainen,Varsinais-Suomi,60.599114832,22.082180366
541,Nurmes,Pohjois-Karjala,63.544266312,29.132995571
543,Nurmijärvi,Uusimaa,60.460806119,24.807369231
545,Närpiö,Pohjanmaa,62.473293481,21.336718308
560,Orimattila,Päijät-Häme,60.80402214,25.734288563
561,Oripää,Varsinais-Suomi,60.856350309,22.697411262
562,Orivesi,Pirkanmaa,61.677407146,24.357389414
563,Oulainen,Pohjois-Pohjanmaa,64.266570168,24.816231983
564,Oulu,Pohjois-Pohjanmaa,65.013784817,25.47209907
309,Outokumpu,Pohjois-Karjala,62.726024464,29.015423401
576,Padasjoki,Päijät-Häme,61.351408456,25.277610756
577,Paimio,Varsinais-Suomi,60.455410664,22.691146855
578,Paltamo,Kainuu,64.409447258,27.832162935
445,Parainen,Varsinais-Suomi,60.299124907,22.3023017
580,Parikkala,Etelä-Karjala,61.55512963,29.501065813
581,Parkano,Pirkanmaa,62.010623403,23.021041049
599,Pedersören kunta,Pohjanmaa,63.601233473,22.791289301
583,Pelkosenniemi,Lappi,67.109192048,27.512878531
854,Pello,Lappi,66.775583504,23.96347775
584,Perho,Keski-Pohjanmaa,63.215274507,24.423163042
588,Pertunmaa,Etelä-Savo,61.503094056,26.477987839
592,Petäjävesi,Keski-Suomi,62.256663764,25.183606514
593,Pieksämäki,Etelä-Savo,62.298590826,27.155481907
595,Pielavesi,Pohjois-Savo,63.232348566,26.755606074
598,Pietarsaari,Pohjanmaa,63.675221726,22.702931738
601,Pihtipudas,Keski-Suomi,63.370334395,25.574614233
604,Pirkkala,Pirkanmaa,61.465248956,23.645483231
607,Polvijärvi,Pohjois-Karjala,62.856826994,29.369602563
608,Pomarkku,Satakunta,61.694846754,22.010453708
609,Pori,Satakunta,61.483726303,21.795900114
611,Pornainen,Uusimaa,60.47689845,25.372932372
638,Porvoo,Uusimaa,60.395371935,25.666559544
614,Posio,Lappi,66.109736985,28.173906419
615,Pudasjärvi,Pohjois-Pohjanmaa,65.36094712,26.999243541
616,Pukkila,Uusimaa,60.645352853,25.580407556
619,Punkalaidun,Pirkanmaa,61.113272934,23.100542189
620,Puolanka,Kainuu,64.868658767,27.669071121
623,Puumala,Etelä-Savo,61.521855331,28.179971761
624,Pyhtää,Kymenlaakso,60.492210487,26.544880023
625,Pyhäjoki,Pohjois-Pohjanmaa,64.465163558,24.259197182
626,Pyhäjärvi,Pohjois-Pohjanmaa,63.681835448,25.985775658
630,Pyhäntä,Pohjois-Pohjanmaa,64.099460341,26.329977857
631,Pyhäranta,Varsinais-Suomi,60.948266485,21.440934529
635,Pälkäne,Pirkanmaa,61.336821181,24.270409233
636,Pöytyä,Varsinais-Suomi,60.721369364,22.599537679
678,Raahe,Pohjois-Pohjanmaa,64.687734335,24.478273101
710,Raasepori,Uusimaa,59.974552922,23.43622808
680,Raisio,Varsinais-Suomi,60.486079651,22.171068833
681,Rantasalmi,Etelä-Savo,62.063413397,28.304229966
683,Ranua,Lappi,65.927505623,26.518416699
684,Rauma,Satakunta,61.128737875,21.511126919
686,Rautalampi,Pohjois-Savo,62.621137137,26.835420999
687,Rautavaara,Pohjois-Savo,63.494210301,28.298223078
689,Rautjärvi,Etelä-Karjala,61.433471798,29.36791525
691,Reisjärvi,Pohjois-Pohjanmaa,63.604386795,24.937851054
694,Riihimäki,Kanta-Häme,60.736737225,24.775321449
697,Ristijärvi,Kainuu,64.505096191,28.211768863
698,Rovaniemi,Lappi,66.502790259,25.728478856
700,Ruokolahti,Etelä-Karjala,61.292264125,28.815799538
702,Ruovesi,Pirkanmaa,61.984488222,24.068811837
704,Rusko,Varsinais-Suomi,60.542439512,22.222515059
707,Rääkkylä,Pohjois-Karjala,62.312677024,29.626058461
729,Saarijärvi,Keski-Suomi,62.705523683,25.253902
732,Salla,Lappi,66.830971278,28.669933096
734,Salo,Varsinais-Suomi,60.384373601,23.126727127
736,Saltvik,Ahvenanmaa,60.275214843,20.059115249
790,Sastamala,Pirkanmaa,61.340225146,22.906437534
738,Sauvo,Varsinais-Suomi,60.344506715,22.691750338
739,Savitaipale,Etelä-Karjala,61.198742149,27.686019135
740,Savonlinna,Etelä-Savo,61.869802657,28.87849829
742,Savukoski,Lappi,67.292004821,28.164370823
743,Seinäjoki,Etelä-Pohjanmaa,62.786662897,22.842279603
746,Sievi,Pohjois-Pohjanmaa,63.906281167,24.521156852
747,Siikainen,Satakunta,61.877660372,21.823140984
748,Siikajoki,Pohjois-Pohjanmaa,64.663838767,25.103293299
791,Siikalatva,Pohjois-Pohjanmaa,64.27203017,25.863775714
749,Siilinjärvi,Pohjois-Savo,63.073664705,27.659698525
751,Simo,Lappi,65.661270047,25.062297166
753,Sipoo,Uusimaa,60.376856973,25.268516114
755,Siuntio,Uusimaa,60.138017546,24.224863347
758,Sodankylä,Lappi,67.414920225,26.590673697
759,Soini,Etelä-Pohjanmaa,62.87297229,24.210173232
761,Somero,Varsinais-Suomi,60.628290724,23.517691265
762,Sonkajärvi,Pohjois-Savo,63.669163025,27.523742906
765,Sotkamo,Kainuu,64.13202497,28.387689851
766,Sottunga,Ahvenanmaa,60.1299875,20.667418704
768,Sulkava,Etelä-Savo,61.789726328,28.378042315
771,Sund,Ahvenanmaa,60.250200171,20.116293532
777,Suomussalmi,Kainuu,64.883821118,28.904794739
778,Suonenjoki,Pohjois-Savo,62.623037446,27.127576934
781,Sysmä,Päijät-Häme,61.503771936,25.68370291
783,Säkylä,Satakunta,61.048361211,22.336785897
831,Taipalsaari,Etelä-Karjala,61.161330352,28.057579346
832,Taivalkoski,Pohjois-Pohjanmaa,65.576252124,28.240598067
833,Taivassalo,Varsinais-Suomi,60.561807633,21.611197663
834,Tammela,Kanta-Häme,60.808134311,23.760277513
837,Tampere,Pirkanmaa,61.49774257,23.761290078
844,Tervo,Pohjois-Savo,62.95214524,26.753932331
845,Tervola,Lappi,66.087024017,24.81106439
846,Teuva,Etelä-Pohjanmaa,62.484761491,21.747190967
848,Tohmajärvi,Pohjois-Karjala,62.226235418,30.333057263
849,Toholampi,Keski-Pohjanmaa,63.771687856,24.250504148
850,Toivakka,Keski-Suomi,62.097929789,26.082544741
851,Tornio,Lappi,65.84973018,24.144091609
