Kunta-nro[4];Kunnan nimi;Nimitys;Kielet;Kuntakeskus;Maakunta;Seutukunta;Väkiluku[5];Kok.pinta-ala (km²)[6];Maapinta-ala (km²)[6];Väestötiheys(as./km²) 
020;Akaa;kaupunki;suomi;Toijalan keskustaajama;Pirkanmaa;Etelä-Pirkanmaan seutukunta;16 405;314.38;293.26;55.9
005;Alajärvi;kaupunki;suomi;Alajärven keskustaajama;Etelä-Pohjanmaa;Järviseudun seutukunta;9 113;1 056.75;1 008.77;9
009;Alavieska;kunta;suomi;Alavieskan kirkonkylä;Pohjois-Pohjanmaa;Ylivieskan seutukunta;2 437;253.02;251.50;9.7
010;Alavus;kaupunki;suomi;Alavuden keskustaajama;Etelä-Pohjanmaa;Kuusiokuntien seutukunta;10 933;1 151.50;1 087.24;10.1
016;Asikkala;kunta;suomi;Vääksy;Päijät-Häme;Lahden seutukunta;7 968;755.55;563.34;14.1
018;Askola;kunta;suomi;Askolan kirkonkylä;Uusimaa;Porvoon seutukunta;4 700;218.03;212.44;22.1
019;Aura;kunta;suomi;Auran asemanseutu;Varsinais-Suomi;Loimaan seutukunta;3 961;95.58;95.01;41.7
035;Brändö;kunta;ruotsi;Åva;Ahvenanmaa;Ålands skärgård;436;108.44;108.18;4
043;Eckerö;kunta;ruotsi;Överby;Ahvenanmaa;Ålands landsbygd;942;109.18;107.72;8.7
046;Enonkoski;kunta;suomi;Enonkosken kirkonkylä;Etelä-Savo;Savonlinnan seutukunta;1 320;419.21;305.55;4.3
047;Enontekiö;kunta;suomi. pohjoissaame;Hetta;Lappi;Tunturi-Lapin seutukunta;1 771;8 391.31;7 953.44;0.2
049;Espoo;kaupunki;suomi. ruotsi;Espoon keskus[7];Uusimaa;Helsingin seutukunta;314 024;330.25;312.34;1 005.4
050;Eura;kunta;suomi;Euran keskustaajama;Satakunta;Rauman seutukunta;11 184;630.20;578.87;19.3
051;Eurajoki;kunta;suomi;Eurajoen kirkonkylä;Satakunta;Rauman seutukunta;9 143;520.91;515.00;17.8
052;Evijärvi;kunta;suomi;Evijärven kirkonkylä;Etelä-Pohjanmaa;Järviseudun seutukunta;2 292;390.71;354.15;6.5
060;Finström;kunta;ruotsi;Godby;Ahvenanmaa;Ålands landsbygd;2 610;132.86;123.32;21.2
061;Forssa;kaupunki;suomi;Forssan keskustaajama;Kanta-Häme;Forssan seutukunta;16 469;253.36;248.83;66.2
062;Föglö;kunta;ruotsi;Degerby;Ahvenanmaa;Ålands skärgård;509;134.99;134.77;3.8
065;Geta;kunta;ruotsi;Vestergeta;Ahvenanmaa;Ålands landsbygd;509;87.47;84.55;6
069;Haapajärvi;kaupunki;suomi;Haapajärven keskustaajama;Pohjois-Pohjanmaa;Nivala–Haapajärven seutukunta;6 558;789.31;766.42;8.6
071;Haapavesi;kaupunki;suomi;Haapaveden keskustaajama;Pohjois-Pohjanmaa;Haapaveden-Siikalatvan seutukunta;6 473;1 086.53;1 050.59;6.2
072;Hailuoto;kunta;suomi;Hailuodon kirkonkylä;Pohjois-Pohjanmaa;Oulun seutukunta;948;207.35;205.66;4.6
074;Halsua;kunta;suomi;Halsuan kirkonkylä;Keski-Pohjanmaa;Kaustisen seutukunta;1 013;428.34;413.01;2.5
075;Hamina;kaupunki;suomi;Haminan keskustaajama;Kymenlaakso;Kotka–Haminan seutukunta;19 534;633.71;609.94;32
076;Hammarland;kunta;ruotsi;Kattby;Ahvenanmaa;Ålands landsbygd;1 646;140.29;138.55;11.9
077;Hankasalmi;kunta;suomi;Hankasalmen kirkonkylä;Keski-Suomi;Jyväskylän seutukunta;4 549;687.74;571.69;8
078;Hanko;kaupunki;suomi. ruotsi;Hangon keskustaajama;Uusimaa;Raaseporin seutukunta;7 721;118.99;117.46;65.7
079;Harjavalta;kaupunki;suomi;Harjavallan keskustaajama[8];Satakunta;Porin seutukunta;6 703;127.74;123.48;54.3
081;Hartola;kunta;suomi;Hartolan kirkonkylä;Päijät-Häme;Lahden seutukunta;2 531;675.48;542.81;4.7
082;Hattula;kunta;suomi;Parola;Kanta-Häme;Hämeenlinnan seutukunta;9 371;427.39;357.79;26.2
086;Hausjärvi;kunta;suomi;Oitti;Kanta-Häme;Riihimäen seutukunta;7 998;398.77;389.42;20.5
099;Honkajoki;kunta;suomi;;Satakunta;
111;Heinola;kaupunki;suomi;Heinolan keskustaajama;Päijät-Häme;Lahden seutukunta;17 953;839.28;676.00;26.6
090;Heinävesi;kunta;suomi;Heinäveden kirkonkylä;Pohjois-Karjala;Joensuun seutukunta;3 001;1 319.57;1 029.95;2.9
091;Helsinki;kaupunki;suomi. ruotsi;Helsingin keskustaajama;Uusimaa;Helsingin seutukunta;674 500;215.08;214.19;3 149.1
097;Hirvensalmi;kunta;suomi;Hirvensalmen kirkonkylä;Etelä-Savo;Mikkelin seutukunta;2 062;746.59;465.09;4.4
